City,Region,Type,Area,Rent,Price
Aix En Provence,Paca,F2,55,8257,280500
Aix En Provence,Paca,F2,49,11333,342370
Aix En Provence,Paca,F2,49,12158,342370
Aix En Provence,Paca,F2,49,12433,334560
Aix En Provence,Paca,F3,54,4134,97200
Aix En Provence,Paca,F3,64,4268,115200
Aix En Provence,Paca,F3,57,4269,119700
Aix En Provence,Paca,F3,64,4449,96000
Aix En Provence,Paca,F3,64,4576,96000
Aix En Provence,Paca,F3,54,4657,97200
Aix En Provence,Paca,F3,51,5140,146421
Aix En Provence,Paca,F3,51,5248,146421
Aix En Provence,Paca,F3,56,6066,179424
Aix En Provence,Paca,F3,57,6656,165300
Aix En Provence,Paca,F3,75,6679,247500
Aix En Provence,Paca,F3,60,7313,172260
Aix En Provence,Paca,F3,74,8096,282754
Aix En Provence,Paca,F3,55,8167,280500
Aix En Provence,Paca,F3,62,9805,277760
Aix En Provence,Paca,F3,64,14334,435880
Aix En Provence,Paca,F3,65,14371,439960
Aix En Provence,Paca,F3,89,14695,351550
Aix En Provence,Paca,F3,61,16889,539667
Aix En Provence,Paca,F3,70,16960,488320
Aix En Provence,Paca,F3,75,16969,390000
Aix En Provence,Paca,F3,81,17612,527603
Aix En Provence,Paca,F3,71,18867,590069
Aix En Provence,Paca,F4,66,7082,125400
Aix En Provence,Paca,F4,85,8439,280500
Aix En Provence,Paca,F4,67,8516,197650
Aix En Provence,Paca,F4,85,8608,331500
Aix En Provence,Paca,F4,65,8963,191750
Aix En Provence,Paca,F4,85,8973,331500
Aix En Provence,Paca,F4,67,9005,197650
Aix En Provence,Paca,F4,108,9696,237600
Aix En Provence,Paca,F4,93,9993,367350
Aix En Provence,Paca,F4,92,10073,363400
Aix En Provence,Paca,F4,68,10231,224400
Aix En Provence,Paca,F4,68,10326,224400
Aix En Provence,Paca,F4,95,10577,332500
Aix En Provence,Paca,F4,87,10583,388890
Aix En Provence,Paca,F4,57,10788,247038
Aix En Provence,Paca,F4,92,12017,363400
Aix En Provence,Paca,F4,92,12057,411240
Aix En Provence,Paca,F4,87,21069,809100
Aix En Provence,Paca,F4,96,23856,1008000
Aix En Provence,Paca,F4,96,24226,626835
Aix En Provence,Paca,F4,96,25263,1008000
Aix En Provence,Paca,F4,133,35143,1472970
Aix En Provence,Paca,F5,87,6265,278748
Aix En Provence,Paca,F5,84,6459,151200
Aix En Provence,Paca,F5,82,7721,172200
Aix En Provence,Paca,F5,98,9110,196000
Aix En Provence,Paca,F5,91,11062,407680
Aix En Provence,Paca,F6,118,16052,456660
Aix En Provence,Paca,F2,60,8291,306000
Aix En Provence,Paca,F2,55,8391,280500
Aix En Provence,Paca,F3,55,6223,164505
Aix En Provence,Paca,F3,51,6977,221034
Aix En Provence,Paca,F3,70,7840,315000
Aix En Provence,Paca,F3,67,9005,194880
Aix En Provence,Paca,F3,78,9098,288600
Aix En Provence,Paca,F3,72,9376,367200
Aix En Provence,Paca,F3,78,11688,444600
Aix En Provence,Paca,F3,71,15306,496020
Aix En Provence,Paca,F3,70,16317,414598
Aix En Provence,Paca,F4,75,5599,105000
Aix En Provence,Paca,F4,68,5643,115600
Aix En Provence,Paca,F4,67,6277,214732
Aix En Provence,Paca,F4,90,7414,234000
Aix En Provence,Paca,F4,67,7479,197650
Aix En Provence,Paca,F4,57,7787,247038
Aix En Provence,Paca,F4,92,9915,351532
Aix En Provence,Paca,F4,88,17090,762930
Aix En Provence,Paca,F4,88,17637,614880
Bourg La Reine,Ile de France,F3,57,7526,165300
Bourg La Reine,Ile de France,F3,60,7920,172260
Bourg La Reine,Ile de France,F3,75,9952,382500
Bourg La Reine,Ile de France,F3,69,13851,685000
Bourg La Reine,Ile de France,F3,70,18151,700000
Bourg La Reine,Ile de France,F4,67,4797,102242
Bourg La Reine,Ile de France,F4,86,19270,817000
Bourg La Reine,Ile de France,F4,100,21709,650000
Bourg La Reine,Ile de France,F6,97,9716,232800
Enghien Les Bains,Ile de France,F3,77,3210,229768
Enghien Les Bains,Ile de France,F3,57,7536,170088
Enghien Les Bains,Ile de France,F4,99,5334,274284
Enghien Les Bains,Ile de France,F5,100,22526,657888
Enghien Les Bains,Ile de France,F5,108,24439,757260
Enghien Les Bains,Ile de France,F5,108,25123,757260
Enghien Les Bains,Ile de France,F6,115,10426,149500
Gif Sur Yvette,Ile de France,F3,64,15252,566208
Gif Sur Yvette,Ile de France,F4,66,4777,85800
Gif Sur Yvette,Ile de France,F4,90,7653,270000
Gif Sur Yvette,Ile de France,F4,87,10905,388890
Gif Sur Yvette,Ile de France,F4,87,10935,388890
Gif Sur Yvette,Ile de France,F4,86,11416,384420
Gif Sur Yvette,Ile de France,F4,87,11678,388890
Gif Sur Yvette,Ile de France,F4,88,20111,615370
Gif Sur Yvette,Ile de France,F4,105,21151,871500
Gif Sur Yvette,Ile de France,F5,87,7844,278748
Gif Sur Yvette,Ile de France,F5,87,9101,278748
Gif Sur Yvette,Ile de France,F5,134,18724,562800
Issy Les Moulineaux,Ile de France,F1,21,5093,61470
Issy Les Moulineaux,Ile de France,F2,51,11240,265200
Issy Les Moulineaux,Ile de France,F2,53,13830,313376
